"tage","zeiten","stage","bandname","genre","spotify-link","gscore"
"Fr","12:45-13:30","Mainstage","A Canorous Quintet","Melodic Death Metal","https://open.spotify.com/search/A%20Canorous%20Quintet%20The%20Time%20of%20Autumn","0"
"Fr","13:45-14:30","Mainstage","Wormed","Brutal Technical Death Metal","https://open.spotify.com/search/Wormed%20Tautochrone","0"
"Fr","14:45-15:30","Mainstage","Sorcerer","Epic Doom Metal","https://open.spotify.com/search/Sorcerer%20The%20Sorcerer","0"
"Fr","15:20-15:55","Tentstage","Nail by Nail","Black Metal","https://open.spotify.com/search/Nail%20by%20Nail%20Embraced%20by%20the%20Black","0"
"Fr","15:45-16:30","Mainstage","Jungle Rot","Death Metal","https://open.spotify.com/search/Jungle%20Rot%20Jugular","0"
"Fr","16:20-16:55","Tentstage","Endonomos","Doom / Death Metal","https://open.spotify.com/search/Endonomos%20The%20Last%20Dying%20Breath","0"
"Fr","16:45-17:30","Mainstage","Afsky","Black Metal","https://open.spotify.com/search/Afsky%20Tyende%20Sang","0"
"Fr","17:20-17:55","Tentstage","Crawl","Death Metal","https://open.spotify.com/search/Crawl%20This%20Sad%20Cadavr","0"
"Fr","17:45-18:30","Mainstage","Deceased","Death / Thrash / Heavy Metal","https://open.spotify.com/search/Deceased%20The%20Silent%20Creature","0"
"Fr","18:25-19:00","Tentstage","Death Worship","Black / Death Metal","https://open.spotify.com/search/Death%20Worship%20End%20Times","0"
"Fr","18:50-19:35","Mainstage","Wolves in the Throne Room","Atmospheric Black Metal","https://open.spotify.com/search/Wolves%20in%20the%20Throne%20Room%20I%20Will%20Lay%20Down%20My%20Bones","0"
"Fr","19:30-20:05","Tentstage","Lucifer's Child","Black Metal","https://open.spotify.com/search/Lucifers%20Child%20The%20Order","0"
"Fr","19:55-20:40","Mainstage","Sacred Reich","Thrash Metal","https://open.spotify.com/search/Sacred%20Reich%20Surf%20Nicaragua","0"
"Fr","20:35-21:10","Tentstage","Asagraum","Black Metal","https://open.spotify.com/search/Asagraum%20General%20Surgeon%20Black%20Love","0"
"Fr","21:00-22:00","Mainstage","Alcest","Post-Black Metal / Shoegaze","https://open.spotify.com/search/Alcest%20Autre%20Temps","0"
"Fr","21:50-22:30","Tentstage","Fleshcrawl","Death Metal","https://open.spotify.com/search/Fleshcrawl%20Bloodred%20Massacre","0"
"Fr","22:20-23:20","Mainstage","Dark Funeral","Black Metal","https://open.spotify.com/search/Dark%20Funeral%20My%20Dark%20Desires","0"
"Fr","23:45-01:00","Mainstage","Amorphis","Melodic Death / Progressive Metal","https://open.spotify.com/search/Amorphis%20Black%20Winter%20Day","0"
"Sa","10:00-10:45","Tentstage","Gorefunest","Death Metal","https://open.spotify.com/search/Gorefest%20Erase","0"
"Sa","11:00-12:00","Tentstage","For Victory","Death Metal","https://open.spotify.com/search/Bolt%20Thrower%20For%20Victory","0"
"Sa","12:00-12:30","Mainstage","Gut","Goregrind / Grindcore","https://open.spotify.com/search/Gut%20Odour%20of%20Torture","0"
"Sa","12:45-13:30","Mainstage","Gates of Ishtar","Melodic Death Metal","https://open.spotify.com/search/Gates%20of%20Ishtar%20The%20Dawn%20of%20Flames","0"
"Sa","13:45-14:30","Mainstage","Internal Bleeding","Slam / Brutal Death Metal","https://open.spotify.com/search/Internal%20Bleeding%20Voracious%20Contempt","0"
"Sa","14:45-15:30","Mainstage","Hexvessel","Psychedelic Folk / Post-Black Metal","https://open.spotify.com/search/Hexvessel%20When%20We%20Are%20Death","0"
"Sa","15:20-15:55","Tentstage","Baxaxaxa","Black Metal","https://open.spotify.com/search/Baxaxaxa%20The%20Old%20Evil","0"
"Sa","15:45-16:30","Mainstage","Acranius","Slam / Brutal Deathcore","https://open.spotify.com/search/Acranius%20Rule%20of%20Seven","0"
"Sa","16:20-16:55","Tentstage","Bloody Vengeance","Thrash / Death / Black Metal","https://open.spotify.com/search/Bloody%20Vengeance%20In%20the%20Name%20of%20Blood","0"
"Sa","16:45-17:30","Mainstage","In the Woods...","Black / Gothic / Progressive Metal","https://open.spotify.com/search/In%20the%20Woods%20Heart%20of%20the%20Ages","0"
"Sa","17:20-17:55","Tentstage","Temple of Dread","Death Metal","https://open.spotify.com/search/Temple%20of%20Dread%20God%20of%20the%20Godless","0"
"Sa","17:45-18:30","Mainstage","Firespawn","Death Metal","https://open.spotify.com/search/Firespawn%20The%20Emperor","0"
"Sa","18:25-19:00","Tentstage","Impurity","Black Metal","https://open.spotify.com/search/Impurity%20Into%20the%20Depths%20of%20Hell","0"
"Sa","18:50-19:35","Mainstage","Groza","Black Metal","https://open.spotify.com/search/Groza%20Nil","0"
"Sa","19:30-20:05","Tentstage","Celeste","Blackened Sludge / Post-Hardcore","https://open.spotify.com/search/Celeste%20Elle%20se%20repete%20froidement","0"
"Sa","19:55-20:40","Mainstage","Murder Squad","Death Metal","https://open.spotify.com/search/Murder%20Squad%20Unspeakable","0"
"Sa","20:35-21:10","Tentstage","Sunken","Atmospheric Black Metal","https://open.spotify.com/search/Sunken%20Ensomhed","0"
"Sa","21:00-22:00","Mainstage","Wolfbrigade","Crust Punk / D-Beat","https://open.spotify.com/search/Wolfbrigade%20A%20Day%20to%20Die","0"
"Sa","21:50-22:30","Tentstage","Tulus","Black Metal","https://open.spotify.com/search/Tulus%20Evil%201999","0"
"Sa","22:20-23:20","Mainstage","Marduk","Black Metal","https://open.spotify.com/search/Marduk%20Panzer%20Division%20Marduk","0"
"Sa","23:45-01:00","Mainstage","Hypocrisy","Melodic Death Metal","https://open.spotify.com/search/Hypocrisy%20Eraser","0"





